ICRISAT accession identifier,Race,Plant height (cm)-postrainy,Plant height (cm)-rainy,Plant pigmentation,Basal tillers number,Nodal tillering,Midrib color,Days to flowering-postrainy,Days to flowering-rainy,Panicle exertion (cm),Panicle length (cm),Panicle width (cm),Panicle compactness and shape,Glume color,Glume covering,Seed color,Seed lustre,Seed subcoat,Seed size (mm),100 Seed weight (g),Endosperm texture,Thresability,Shoot fly-rainy,Shoot fly-postrainy,Downy mildew % (field),Downy mildew % (glasshouse),Stem borer,Anthracnose,Grain mold,Leaf blight,Midge,Headbug,Rust,Strigol control,Protein (%),Lysine (%),Remarks,Year of characterization,Temperature,Humidity,Rainfall
1,Bicolor,230,240,Pigmented,1,Present,White,64,56,15,27,13,Semi-loose stiff branches,Partly straw and purple,Grain fully covered,Reddish brown,Non-Lustrous,Present,3,5.39,Mostly starchy,Partly threshable,Moderately resistant,NULL,97,NULL,Moderately susceptible,>40% leaf area damaged,Considerable mold growth and 11-25% grain surface area molded,NULL,NULL,NULL,>40% leaf area damaged,105.2600021,11.1,2.1,NULL,NULL,NULL,NULL,NULL
2,Bicolor,240,320,Pigmented,1,Present,White,64,56,NULL,42,15.5,Loose stiff branches,Brown,Grain fully covered,Light brown,Lustrous,Absent,1.8,1.53,Mostly corneous,Difficult to thresh,Highly resistant,NULL,95,NULL,Moderately susceptible,>40% leaf area damaged,Scanty mold growth and up to 10% grain surface area molded,21-40% leaf area damaged,NULL,NULL,>40% leaf area damaged,50.09000015,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,Bicolor,210,325,Pigmented,2,Absent,White,69,68,15,34,13,Loose drooping branches,Brown,Grain fully covered,Brown,Non-Lustrous,Absent,2.5,1.88,Partly corneous,Difficult to thresh,Suceptible,NULL,83,NULL,Moderately susceptible,21-40% leaf area damaged,Scanty mold growth and up to 10% grain surface area molded,21-40% leaf area damaged,NULL,NULL,>40% leaf area damaged,51.45000076,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,Bicolor,190,310,Pigmented,1,Absent,White,76,63,NULL,34,21.5,Loose stiff branches,Brown,Grain fully covered,Brown,Non-Lustrous,Present,3,1.74,Partly corneous,Difficult to thresh,Moderately resistant,Highly resistant,78,NULL,Moderately susceptible,NULL,Considerable mold growth and 11-25% grain surface area molded,>40% leaf area damaged,NULL,NULL,6-20% leaf area damaged,37.68000031,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,Bicolor,225,350,Tan,1,Absent,White,82,65,5,31,12,Loose stiff branches,Brown,Grain fully covered,Light brown,Non-Lustrous,Absent,2.8,1.43,Mostly starchy,Difficult to thresh,Moderately resistant,NULL,95,NULL,Moderately susceptible,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,21-40% leaf area damaged,NULL,NULL,>40% leaf area damaged,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,Bicolor,235,320,Tan,1,Absent,White,80,67,7,29,5.9,Loose drooping branches,Brown,Grain fully covered,Light brown,Lustrous,Absent,3,1.79,Partly corneous,Difficult to thresh,Highly resistant,NULL,72,NULL,Susceptible,21-40% leaf area damaged,Considerable mold growth and 26-50% grain surface area molded,21-40% leaf area damaged,NULL,NULL,>40% leaf area damaged,72.16999817,NULL,NULL,NULL,NULL,2.2,54.5,137.6
13,Bicolor,240,310,Tan,1,Absent,White,64,59,10,36.5,10,Very loose drooping branches,Brown,Grain fully covered,Light brown,Non-Lustrous,Absent,2.6,1.87,Partly corneous,Difficult to thresh,Highly resistant,Suceptible,70,NULL,Susceptible,NULL,Considerable mold growth and 26-50% grain surface area molded,21-40% leaf area damaged,NULL,NULL,6-20% leaf area damaged,64.37999725,NULL,NULL,NULL,NULL,2.2,54.5,137.6
15,Bicolor,240,350,Pigmented,1,Absent,White,79,70,NULL,36,10,Loose drooping branches,Brown,Grain fully covered,Brown,Non-Lustrous,Absent,2.8,1.62,Partly corneous,Difficult to thresh,Highly resistant,NULL,99,NULL,Moderately susceptible,21-40% leaf area damaged,Considerable mold growth and 11-25% grain surface area molded,6-20% leaf area damaged,NULL,NULL,>40% leaf area damaged,78.58999634,NULL,NULL,NULL,NULL,2.2,54.5,137.6
20,Bicolor,130,170,Pigmented,1,Present,Dull green,75,60,NULL,24.5,8,Semi-compact elliptic,Straw,Half grain covered,Light brown,Non-Lustrous,Present,3.5,3.24,Mostly starchy,Partly threshable,Suceptible,NULL,13,NULL,Highly susceptible,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,2-5% leaf area damaged,NULL,NULL,>40% leaf area damaged,58.68999863,9.6,2.3,NULL,NULL,2.2,54.5,137.6
21,Bicolor,260,330,Pigmented,1,Present,White,76,62,12,52,47,Very loose drooping branches,Light red,Grain fully covered,Brown,Non-Lustrous,Absent,2.5,2.03,Partly corneous,Difficult to thresh,Suceptible,NULL,89,NULL,Susceptible,>40% leaf area damaged,Scanty mold growth and up to 10% grain surface area molded,>40% leaf area damaged,NULL,NULL,21-40% leaf area damaged,30.32999992,NULL,NULL,NULL,NULL,2.2,54.5,137.6
23,Bicolor,215,365,Pigmented,2,Present,White,72,77,NULL,46,3,Loose drooping branches,Brown,Grain fully covered,Brown,Non-Lustrous,Absent,3,3.78,Mostly starchy,Difficult to thresh,Suceptible,NULL,82,NULL,Susceptible,21-40% leaf area damaged,Scanty mold growth and up to 10% grain surface area molded,NULL,NULL,NULL,NULL,36.29000092,NULL,NULL,NULL,NULL,2.2,54.5,137.6
24,Bicolor,230,310,Pigmented,2,Present,White,77,71,16,30.5,9,Loose stiff branches,Brown,Grain fully covered,Light brown,Lustrous,Absent,3,1.77,Partly corneous,Difficult to thresh,Suceptible,NULL,74,NULL,Highly susceptible,21-40% leaf area damaged,Considerable mold growth and 11-25% grain surface area molded,21-40% leaf area damaged,NULL,NULL,NULL,32.61000061,NULL,NULL,NULL,NULL,2.2,54.5,137.6
26,Bicolor,220,350,Tan,1,Absent,White,81,71,NULL,29,6.5,Loose drooping branches,Brown,Grain fully covered,Light brown,Lustrous,Absent,2.5,1.65,Mostly starchy,Difficult to thresh,Suceptible,NULL,81,NULL,NULL,21-40% leaf area damaged,Scanty mold growth and up to 10% grain surface area molded,21-40% leaf area damaged,NULL,NULL,NULL,42.68000031,NULL,NULL,NULL,NULL,2.2,54.5,137.6
28,Bicolor,230,290,Tan,1,Absent,White,82,69,6,30.5,11.3,Loose drooping branches,Brown,Grain fully covered,Brown,Lustrous,Absent,2.8,1.88,Mostly starchy,Difficult to thresh,Highly resistant,NULL,36,NULL,NULL,21-40% leaf area damaged,Considerable mold growth and 11-25% grain surface area molded,21-40% leaf area damaged,NULL,NULL,NULL,75.33000183,NULL,NULL,NULL,NULL,2.2,54.5,137.6
29,Bicolor,230,310,Pigmented,1,Absent,White,80,65,12,36.5,10,Loose drooping branches,Brown,Grain fully covered,Brown,Lustrous,Absent,2.5,1.83,Mostly starchy,Difficult to thresh,Highly resistant,Highly suceptible,85,NULL,Susceptible,NULL,No mold on grain surface,>40% leaf area damaged,NULL,NULL,6-20% leaf area damaged,61.06000137,NULL,NULL,NULL,NULL,2.2,54.5,137.6
30,Bicolor,260,330,Pigmented,1,Absent,White,81,71,15,35,15,Very loose drooping branches,Brown,Grain fully covered,Light brown,Lustrous,Absent,2.3,1.82,Mostly starchy,Difficult to thresh,Highly suceptible,Suceptible,97,NULL,Moderately susceptible,NULL,Scanty mold growth and up to 10% grain surface area molded,21-40% leaf area damaged,NULL,NULL,21-40% leaf area damaged,48.47999954,NULL,NULL,NULL,NULL,2.2,54.5,137.6
31,Bicolor,225,320,Pigmented,1,Absent,White,81,80,15,30.5,8,Loose stiff branches,Brown,Grain fully covered,Light brown,Non-Lustrous,Absent,2.5,1.91,Partly corneous,Partly threshable,Moderately resistant,NULL,95,NULL,Susceptible,21-40% leaf area damaged,No mold on grain surface,21-40% leaf area damaged,NULL,NULL,>40% leaf area damaged,32.11999893,NULL,NULL,NULL,NULL,2.2,54.5,137.6
