ICRISAT accession identifier,Plant height (cm),Plant width (cm),Plant pigmentation,Growth habit,Basal primary branches number,Apical primary branches number,Basal secondary branches number,Apical secondary branches number,Tertiary branches number,Days to flowering,Flowering duration,Flower color,Days to maturity,Pods per plant,Seeds per pod,Seed yield (Kg/ha),Seed color,Dots on seed coat,Seed shape,Seed surface,100 Seed weight (g),Protein (%),Wilt,Ascochyta blight,Colletotrichum blight,Botrytis grey mold,Pod borer,Year of Characterization,Temperature,Humidity,Rainfall
35,39,45.3,Low anthocyanin,Semi-erect,4.3,1.3,4.7,5.7,2.7,63,40,Pink,103,52,1.6,1890,Yellow brown,Present,Angular,Rough,10,22.7,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
70,28,30.3,Low anthocyanin,Semi-spreading,3,0.7,2,4.3,1,51,40,Pink,110,45,1.2,870,Yellow brown,Present,Angular,Tuberculated,11,22.3,Susceptible,Susceptible,Moderately susceptible,NULL,NULL,NULL,NULL,NULL,NULL
105,28,36,Low anthocyanin,Semi-spreading,2.7,1,3.7,1.7,2.3,64,33,Pink,107,42,1,1220,Yellow,Present,Angular,Rough,13,19,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
140,31,36.7,Low anthocyanin,Semi-spreading,3.7,2,3,4.7,2.7,63,35,Pink,106,44,1,1180,Yellow,Present,Angular,Rough,14,21.4,Susceptible,Susceptible,Susceptible,NULL,NULL,Characterization (Data missing) 2017-18 PR; DOS:26-Oct-17,NULL,NULL,NULL
248,25,29,Low anthocyanin,Semi-erect,2,0.3,3,2.3,NULL,65,35,Pink,111,26,1,1090,Yellow,Present,Angular,Rough,11,19,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
176,25,28,Low anthocyanin,Semi-erect,2.7,2,2.7,2.7,1,57,43,Pink,107,42,1.4,1040,Yellow,Present,Angular,Rough,11,17.7,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
211,45,61.7,Low anthocyanin,Semi-spreading,3.7,3,2.7,8.3,NULL,66,22,Pink,112,123,1.1,2520,Brown,Present,Angular,Rough,15,19.4,Susceptible,NULL,Moderately susceptible,NULL,NULL,NULL,NULL,NULL,NULL
283,42,64.7,Low anthocyanin,Semi-spreading,2.7,1.3,4.3,5.3,NULL,57,50,Pink,113,98,1,3340,Light brown,Present,Angular,Rough,16,18.4,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
319,33,36,Low anthocyanin,Semi-erect,3.7,2.3,5,3.3,2,60,29,Pink,106,50,1.3,1510,Yellow,Present,Angular,Rough,15,18.3,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
355,40,100.3,Low anthocyanin,Spreading,2.3,6.3,2,5.7,NULL,55,36,Pink,113,109,1.1,3270,Light brown,Present,Angular,Rough,17,20.1,Susceptible,NULL,Moderately susceptible,NULL,NULL,NULL,NULL,NULL,NULL
391,27,84,Low anthocyanin,Spreading,3.7,1.3,5,8.7,NULL,57,28,Pink,116,142,1.3,2290,Brown,Present,Angular,Rough,9,21.7,Resistant,NULL,Moderately susceptible,NULL,NULL,NULL,NULL,NULL,NULL
427,43,72,Low anthocyanin,Semi-spreading,2,3.3,0.3,6.7,NULL,57,62,Pink,113,52,1.2,3280,Brown,Present,Angular,Rough,11,17.1,Susceptible,NULL,Moderately susceptible,NULL,NULL,NULL,NULL,NULL,NULL
463,55,65.3,Low anthocyanin,Semi-spreading,2.7,2,1.7,5,NULL,66,32,Pink,115,40,1.5,2530,Brown,Present,Angular,Rough,11,19.4,Moderately resistant,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
498,37,58.7,Low anthocyanin,Semi-spreading,3,3.3,1.7,8.7,NULL,50,55,Pink,113,67,1.2,2360,Brown,Present,Angular,Rough,11,19.6,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
534,54,101,Low anthocyanin,Spreading,4,2,6.7,10.7,NULL,75,29,Pink,117,173,1.6,3360,Dark brown,Present,Angular,Rough,11,NULL,Susceptible,NULL,Susceptible,NULL,NULL,NULL,44.1,79.7,1127.6
570,39,69.3,Low anthocyanin,Semi-spreading,3,3.7,1,5,NULL,50,26,Pink,110,72,1.1,2880,Brown,Present,Angular,Rough,13,22,Moderately resistant,NULL,Susceptible,NULL,NULL,NULL,44.1,79.7,1127.6
605,32,53.3,Low anthocyanin,Semi-spreading,3,3.3,2.3,4.7,NULL,50,56,Pink,110,83,1.2,2980,Brown,Absent,Pea,Rough,19,22.4,Susceptible,NULL,Moderately susceptible,Susceptible,NULL,NULL,44.1,79.7,1127.6
641,42,27.3,Low anthocyanin,Semi-erect,3,NULL,3.3,4.7,NULL,68,37,Pink,126,33,1.5,630,Black,Absent,Angular,Rough,9,22.2,Susceptible,Susceptible,Susceptible,Susceptible,NULL,NULL,44.1,79.7,1127.6
676,35,64.3,Low anthocyanin,Semi-spreading,3.3,1.7,2.7,7.7,NULL,50,29,Pink,113,61,1.1,2210,Brown,Absent,Angular,Tuberculated,13,21,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
711,47,52,Low anthocyanin,Semi-spreading,3.7,1.3,1,7,NULL,66,39,Pink,115,42,1,2800,Brown,Present,Angular,Rough,19,NULL,Susceptible,NULL,Moderately susceptible,NULL,NULL,NULL,NULL,NULL,NULL
747,42,66.7,Low anthocyanin,Semi-spreading,2.7,0.3,4.7,7,NULL,66,45,Pink,114,109,1.1,2270,Yellow,Present,Angular,Rough,11,NULL,Susceptible,NULL,Moderately susceptible,NULL,NULL,NULL,NULL,NULL,NULL
783,43,81.3,Low anthocyanin,Semi-spreading,4,2.7,1.7,6.3,NULL,66,29,Pink,111,95,1.1,2770,Brown,Present,Angular,Rough,12,NULL,Susceptible,NULL,Moderately susceptible,NULL,NULL,NULL,NULL,NULL,NULL
818,34,74.7,Low anthocyanin,Semi-spreading,3.3,2,3,10.3,NULL,66,33,Light pink,112,74,1.2,2490,Brownish beige,Absent,Angular,Rough,13,NULL,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
854,34,56,Low anthocyanin,Semi-spreading,3.3,2,1,4.3,NULL,57,32,Pink,108,43,1.5,2260,Brown,Present,Angular,Rough,11,NULL,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
888,55,67,Low anthocyanin,Semi-spreading,5.7,3,5.3,18,NULL,73,23,Pink,114,74,1.1,2360,Light brown,Present,Angular,Rough,13,NULL,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
922,29,55,Low anthocyanin,Semi-spreading,3.3,2,2,5.7,NULL,57,50,Pink,110,36,1.3,2490,Brown,Present,Angular,Rough,12,NULL,Moderately resistant,Susceptible,Susceptible,Tolerant,NULL,NULL,NULL,NULL,NULL
956,41,49,No anthocyanin,Semi-spreading,3.3,NULL,3.7,2,NULL,80,22,White,120,16,1.4,1380,Light yellow,Absent,Angular,Rough,11,21.1,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,44.1,79.7,1127.6
990,38,35.3,Low anthocyanin,Semi-erect,2,0.7,2.3,3.7,1.3,67,39,Pink,128,37,1.3,1830,Light brown,Present,Angular,Rough,17,12.9,Susceptible,Susceptible,Moderately susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1025,50,62.4,Low anthocyanin,Semi-erect,3.4,3.8,4.2,2.4,0,72,23,Pink,123,87,1,2070,Yellow brown,Present,Angular,Rough,9.6,16.5,Moderately resistant,Susceptible,Susceptible,NULL,NULL,2021 PR,NULL,NULL,NULL
1059,43,48,Low anthocyanin,Semi-erect,2,3,2,2,NULL,70,43,Pink,114,42,1.1,1760,Brown,Present,Angular,Rough,11,20.9,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1094,35,45.2,Low anthocyanin,Semi-erect,3.8,1.8,4.4,1.2,0,72,23,Pink,120,113,1.54,1560,Yellow brown,Present,Angular,Rough,8.4,NULL,Susceptible,Susceptible,Susceptible,NULL,NULL,2021 PR,38.3,71,918.1
1129,36,43.3,Low anthocyanin,Semi-spreading,6.3,2,5.3,6.7,NULL,48,30,Pink,110,62,1.1,2580,Brown,Absent,Angular,Tuberculated,15,21.3,Resistant,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1164,32,30.7,No anthocyanin,Semi-erect,2.3,1,3.3,2.7,1.3,74,29,White,129,58,1.3,2070,Light orange,Absent,Angular,Rough,14,18.1,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1199,43,53,Low anthocyanin,Semi-erect,3.3,0.7,3.3,8,NULL,66,50,Pink,114,68,1.2,2240,Brown,Present,Angular,Rough,16,21.9,Moderately resistant,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1235,47,53,Low anthocyanin,Semi-spreading,2.3,2.7,0.3,3.3,NULL,50,31,Pink,118,51,1.1,2220,Brown,Present,Angular,Rough,19,18.6,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1270,43,49,NULL,Semi-erect,3,1.7,4.3,6.7,NULL,66,NULL,Pink,110,73,1.5,2510,Light yellow,Present,Angular,Rough,12,NULL,Susceptible,Tolerant,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
