ICRISAT accession identifier,Accession identifier,Crop,Genotype / Sequencing info,DOI,Mission code,Collectors number,Alternate accession identifier,Local name,Genus,Species,SPAUTHOR,SUBTAXA,SUBTAUTHOR,Cultivar name,Biological status,Collecting source,Donor cooperator code,Donor country,Acquisition Date,Collection Date,Country Source,Province,Collection site,Latitude,Longitude,Elevation,Ec No,FAO in trust,Core,Mini core,Remarks,Registered Date,Temperature,Humidity,Rainfall
1,ICC 1,Chickpea,NULL,10.18730/MA8AE,ICRISAT-MISN-N/A,NULL,P 1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
2,ICC 2,Chickpea,SRR13015058,10.18730/MA8BF,ICRISAT-MISN-N/A,NULL,P 1-1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,Yes,No,NULL,NULL,NULL,NULL,NULL
3,ICC 3,Chickpea,NULL,10.18730/MA8CG,ICRISAT-MISN-N/A,NULL,P 2,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
4,ICC 4,Chickpea,NULL,10.18730/MA8DH,ICRISAT-MISN-N/A,NULL,P 2-1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
5,ICC 5,Chickpea,NULL,10.18730/MA8EJ,ICRISAT-MISN-N/A,NULL,P 3,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
6,ICC 6,Chickpea,NULL,10.18730/MA8FK,ICRISAT-MISN-N/A,NULL,P 4,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7,ICC 7,Chickpea,NULL,10.18730/MA8GM,ICRISAT-MISN-N/A,NULL,P 5,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
8,ICC 8,Chickpea,NULL,10.18730/MA8HN,ICRISAT-MISN-N/A,NULL,P 5-1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
9,ICC 9,Chickpea,NULL,10.18730/MA8JP,ICRISAT-MISN-N/A,NULL,P 6,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
10,ICC 10,Chickpea,NULL,10.18730/MA8KQ,ICRISAT-MISN-N/A,NULL,P 6-1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
11,ICC 11,Chickpea,NULL,10.18730/MA8MR,ICRISAT-MISN-N/A,NULL,P 6-2,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
12,ICC 12,Chickpea,NULL,10.18730/MA8NS,ICRISAT-MISN-N/A,NULL,P 7,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
13,ICC 13,Chickpea,NULL,10.18730/MA8PT,ICRISAT-MISN-N/A,NULL,P 7-1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
14,ICC 14,Chickpea,NULL,10.18730/MA8QV,ICRISAT-MISN-N/A,NULL,P 8,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
